case_id,paper_id,material,condition,lambda_ref,omega_log_K,theta_D_K,omega2_K,mu_star,expected_method,cost_tier_coreh
lam261,813203421422157825,Simple cubic (sc) phosphorus under pressure,"sc P, 20 GPa (P_calc)",0.795,418,,449,0.18,DFPT-direct,1e2-1e3
lam262,813203421422157825,Simple cubic (sc) phosphorus under pressure,"sc P, 70 GPa (P_calc)",0.676,469,,561,0.18,DFPT-direct,1e2-1e3
lam263,813217096233123840,Compressed elemental sulfur (S): beta-Po and simple-cubic phases at 16,beta-Po 160 GPa,0.76,439.1,,540.9,0.11,DFPT-direct,1e2-1e3
lam264,813217096233123840,Compressed elemental sulfur (S): beta-Po and simple-cubic phases at 16,sc 280 GPa,0.53,560.1,,836.5,0.11,DFPT-direct,1e2-1e3
lam265,867751696124608720,Nb(1-x)B2 (NbB2 and vacancy series),NbB1.93 (B-deficient),0.212,494,,,0.09,DFPT-direct,1e2-1e3
lam266,867751696124608720,Nb(1-x)B2 (NbB2 and vacancy series),NbB2 (stoichiometric),0.294,494,,,0.09,DFPT-direct,1e2-1e3
lam267,867761707680793089,fcc Yttrium (Y) under pressure/compression,"fcc Y, v=0.90 (P~6 GPa)",0.75,145.05,,170.6,0.15,DFPT-direct,1e2-1e3
lam268,867769399187079437,"Mg(B1-xCx)2 carbon-doped MgB2, 0<=x<=0.3",Cmcm-AtH2 50 GPa,0.57,299.2,,,0.1,DFPT-direct,1e2-1e3
lam269,867769399187079437,"Mg(B1-xCx)2 carbon-doped MgB2, 0<=x<=0.3",Cmmm-AtH4 250 GPa,0.9,812.5,,,0.1,DFPT-direct,1e2-1e3
lam270,867769399187079437,"Mg(B1-xCx)2 carbon-doped MgB2, 0<=x<=0.3",P6/mmm-AtH4 100 GPa,0.82,680.9,,,0.1,DFPT-direct,1e2-1e3
lam271,867769399187079437,"Mg(B1-xCx)2 carbon-doped MgB2, 0<=x<=0.3",P6/mmm-AtH4 200 GPa with SOC,0.86,614.4,,,0.1,DFPT-direct,1e2-1e3
lam272,867769399187079437,"Mg(B1-xCx)2 carbon-doped MgB2, 0<=x<=0.3",P6/mmm-AtH4 200 GPa without SOC,0.76,651.6,,,0.1,DFPT-direct,1e2-1e3
lam273,867769399187079437,"Mg(B1-xCx)2 carbon-doped MgB2, 0<=x<=0.3",Pnma-AtH2 200 GPa,0.56,545.3,,,0.1,DFPT-direct,1e2-1e3
lam274,943000233191669804,"Elemental scandium (high pressure, Sc-III/IV/V)","Sc-III, 100 GPa, mu*=0.10",0.79,261,,,0.1,DFPT-direct,1e2-1e3
lam275,943000233191669804,"Elemental scandium (high pressure, Sc-III/IV/V)","Sc-IV, 170 GPa, mu*=0.10",1.11,264,,,0.1,DFPT-direct,1e2-1e3
lam276,943000233191669804,"Elemental scandium (high pressure, Sc-III/IV/V)","Sc-V, 260 GPa, mu*=0.10",1.12,367,,,0.1,DFPT-direct,1e2-1e3
