case_id,paper_id,material,condition,lambda_ref,omega_log_K,theta_D_K,omega2_K,mu_star,expected_method,cost_tier_coreh
lam153,812141571729260545,"Early transition-metal carbides/nitrides (TiC,ZrC,HfC,TiN,ZrN,HfN,NbC,",NbC (B1),0.87,340,,,0.18,DFPT-direct,1e3-1e4
lam154,812141571729260545,"Early transition-metal carbides/nitrides (TiC,ZrC,HfC,TiN,ZrN,HfN,NbC,",TaC (B1),0.78,272,,,0.12,DFPT-direct,1e3-1e4
lam155,812141571729260545,"Early transition-metal carbides/nitrides (TiC,ZrC,HfC,TiN,ZrN,HfN,NbC,",TiN (B1),0.59,470,,,0.145,DFPT-direct,1e3-1e4
lam156,812141571729260545,"Early transition-metal carbides/nitrides (TiC,ZrC,HfC,TiN,ZrN,HfN,NbC,","VC (B1, stoichiometric)",0.78,327,,,0.12,DFPT-direct,1e3-1e4
lam157,812141571729260545,"Early transition-metal carbides/nitrides (TiC,ZrC,HfC,TiN,ZrN,HfN,NbC,",ZrN (B1),0.66,402,,,0.12,DFPT-direct,1e3-1e4
lam158,812454340861100036,BEDT-TTF organic superconductors: kappa- and beta*-(BEDT-TTF)2I3,(single),0.74,86.3,,,0.1,DFPT-direct,1e3-1e4
lam159,812489993686614016,"YC2 (yttrium dicarbide, CaC2-type) under compression","YC2 (CaC2-type bct), 0 GPa",0.55,347.32,,,0.13,DFPT-direct,1e3-1e4
lam160,812489993686614016,"YC2 (yttrium dicarbide, CaC2-type) under compression","YC2 (CaC2-type bct), 20 GPa",0.45,394.97,,,0.13,DFPT-direct,1e3-1e4
lam161,812600623223537667,"Noncentrosymmetric superconductors LaNiSi, LaPtSi (and LaPtGe)",LaNiSi,0.49,169.5,,,0.1,DFPT-direct,1e3-1e4
lam162,812600623223537667,"Noncentrosymmetric superconductors LaNiSi, LaPtSi (and LaPtGe)",LaPtSi,0.59,140.6,,,0.1,DFPT-direct,1e3-1e4
lam163,812774568677605378,YIn3 (cubic AuCu3-type) under positive pressure,"YIn3, 1.04 GPa",0.36,114.9,,,0.07,DFPT-direct,1e3-1e4
lam164,812774568677605378,YIn3 (cubic AuCu3-type) under positive pressure,"YIn3, 2.1 GPa",0.32,118.4,,,0.07,DFPT-direct,1e3-1e4
lam165,812774568677605378,YIn3 (cubic AuCu3-type) under positive pressure,"YIn3, ambient pressure",0.38,111.4,,,0.07,DFPT-direct,1e3-1e4
lam166,813009572703764480,"YSn3 (cubic AuCu3-type, Pm-3m) under negative (tensile) pressure","YSn3, 3.48 GPa negative pressure (2% lattice increment)",1.55,61.3,,,0.15,DFPT-direct,1e3-1e4
lam167,813009572703764480,"YSn3 (cubic AuCu3-type, Pm-3m) under negative (tensile) pressure","YSn3, ambient pressure",1.29,69.5,,,0.15,DFPT-direct,1e3-1e4
lam168,813207569110663169,Cr3GaN antiperovskite under pressure (0-100 GPa),"Cr3GaN, 0 GPa, mu*=0.10",0.53,306,,,0.1,DFPT-direct,1e3-1e4
lam169,813214614123708416,Hole-doped LiBC via Be substitution: LiB0.9Be0.1C,(single),0.75,901,,,0.1,DFPT-direct,1e3-1e4
lam170,813219863777509378,YIn3 (AuCu3 structure),(single),0.42,135.9,,,0.1,DFPT-direct,1e3-1e4
lam171,813364301560545280,"Layered binary silicides XSi2 (X=Mg,Ca,Sr,Ba,Ra), trigonal EuGe2-type",BaSi2,0.77,156,,,0.1,DFPT-direct,1e3-1e4
lam172,813364301560545280,"Layered binary silicides XSi2 (X=Mg,Ca,Sr,Ba,Ra), trigonal EuGe2-type","CaSi2, 0 GPa",0.42,190,,,0.1,DFPT-direct,1e3-1e4
lam173,813364301560545280,"Layered binary silicides XSi2 (X=Mg,Ca,Sr,Ba,Ra), trigonal EuGe2-type","CaSi2, 16 GPa",1.1,100,,,0.1,DFPT-direct,1e3-1e4
lam174,813364301560545280,"Layered binary silicides XSi2 (X=Mg,Ca,Sr,Ba,Ra), trigonal EuGe2-type",MgSi2 (z_tuned=0.593),0.79,132,,,0.1,DFPT-direct,1e3-1e4
lam175,813364301560545280,"Layered binary silicides XSi2 (X=Mg,Ca,Sr,Ba,Ra), trigonal EuGe2-type",RaSi2 (z_tuned=0.544),0.93,134,,,0.1,DFPT-direct,1e3-1e4
lam176,813364301560545280,"Layered binary silicides XSi2 (X=Mg,Ca,Sr,Ba,Ra), trigonal EuGe2-type",SrSi2,0.5,187,,,0.1,DFPT-direct,1e3-1e4
lam177,814547623011680264,NaAlSi (anti-PbFCl-type ternary silicide),"NaAlSi, mu*=0.10",0.68,216.27,,,0.1,DFPT-direct,1e3-1e4
lam178,814582504823455745,K2Cr3As3 (noncentrosymmetric quasi-1D),(single),3,102.2,,,0.12,DFPT-direct,1e3-1e4
lam179,814601823489884160,SnAs (rock-salt / NaCl structure),"P1 H5S2, 112 GPa",1.186,898,,,0.13,DFPT-direct,1e3-1e4
lam180,814601823489884160,SnAs (rock-salt / NaCl structure),"P1 H5S2, 120 GPa",1.239,907,,,0.13,DFPT-direct,1e3-1e4
lam181,814601823489884160,SnAs (rock-salt / NaCl structure),"P1 H5S2, 130 GPa",1.242,951,,,0.13,DFPT-direct,1e3-1e4
lam182,814627375626059776,hexagonal BaSn5 (P6/mmm),(single),0.96,76.1,,,0.13,DFPT-direct,1e3-1e4
lam183,814639645122887682,body-centered-tetragonal YC2 and LaC2 (CaC2-type dicarbides),LaC2 (CaC2-type),0.54,228.26,,,0.13,DFPT-direct,1e3-1e4
lam184,814639645122887682,body-centered-tetragonal YC2 and LaC2 (CaC2-type dicarbides),YC2 (CaC2-type),0.55,300.12,,,0.13,DFPT-direct,1e3-1e4
lam185,814647506360074241,Nb2InC (under biaxial strain),"Nb2InC, +10% tensile strain",1.26,203,,,0.13,DFPT-direct,1e3-1e4
lam186,867746414900282231,"MgB2 (multiband, two-gap analysis)",(single),1.01,652,,,0.13,DFPT-direct,1e3-1e4
lam187,867747555490923056,stoichiometric Li2B3C (MgB2-analogue),(single),1.53,530.2,,,0.093,DFPT-direct,1e3-1e4
lam188,867752213492007190,Rock-salt LaO (bulk + strained/doped + thin films),"bulk LaO, 4% biaxial tensile strain",0.818,194.1,,,0.13,DFPT-direct,1e3-1e4
lam189,867752213492007190,Rock-salt LaO (bulk + strained/doped + thin films),"bulk LaO, zero strain (epsilon=0%)",0.653,224.3,,,0.13,DFPT-direct,1e3-1e4
lam190,867753789745004576,bulk 1T-MoS2 (under pressure 0-25 GPa),"1T-MoS2, 0 GPa",0.658,193.76,,,0.138,DFPT-direct,1e3-1e4
lam191,867754418865439090,nH-CaAlSi (1H/5H/6H stacking variants; also 2H/3H) under pressure,"CaAlSi 1H, 20 kbar",0.7,139.9,,,0.1,DFPT-direct,1e3-1e4
lam192,867754418865439090,nH-CaAlSi (1H/5H/6H stacking variants; also 2H/3H) under pressure,"CaAlSi 1H, 40 kbar",0.7,134,,,0.1,DFPT-direct,1e3-1e4
lam193,867754418865439090,nH-CaAlSi (1H/5H/6H stacking variants; also 2H/3H) under pressure,"CaAlSi 1H, P=0",0.73,139.2,,,0.1,DFPT-direct,1e3-1e4
lam194,867754418865439090,nH-CaAlSi (1H/5H/6H stacking variants; also 2H/3H) under pressure,"CaAlSi 2H, 20 kbar",0.47,186,,,0.1,DFPT-direct,1e3-1e4
lam195,867754418865439090,nH-CaAlSi (1H/5H/6H stacking variants; also 2H/3H) under pressure,"CaAlSi 2H, 40 kbar",0.43,200,,,0.1,DFPT-direct,1e3-1e4
lam196,867754418865439090,nH-CaAlSi (1H/5H/6H stacking variants; also 2H/3H) under pressure,"CaAlSi 2H, P=0",0.6,160,,,0.1,DFPT-direct,1e3-1e4
lam197,867757683732643869,"K2Cr3As3 (noncentrosymmetric quasi-1D, P-6m2)",(single),3,102.2,,,0.12,DFPT-direct,1e3-1e4
lam198,867760184875811501,"(Ce,La)H9 (ordered P-6m2, Ce:La=1, 200 GPa)",(single),3,327,,,0.1,DFPT-direct,1e3-1e4
lam199,867760796275311043,"compressed solid benzene molecular crystal (C6H6, P2_1/c) at 180-200 G","benzene P2_1/c, 190 GPa, mu*=0.10",0.68,565.1,,,0.1,DFPT-direct,1e3-1e4
lam200,867761419615994028,"beryllium-based alloys (Be-Pb, Be-Al, Be-In, Be-Nb, Tl-Pb, ternary Be-",Be-Al 24:976,0.427,,452,,0.127,DFPT-direct,1e3-1e4
lam201,867761419615994028,"beryllium-based alloys (Be-Pb, Be-Al, Be-In, Be-Nb, Tl-Pb, ternary Be-",Be-In 31:69,0.627,,521,,0.12,DFPT-direct,1e3-1e4
lam202,867761419615994028,"beryllium-based alloys (Be-Pb, Be-Al, Be-In, Be-Nb, Tl-Pb, ternary Be-",Be-Nb 23:77,0.684,,546,,0.117,DFPT-direct,1e3-1e4
lam203,867761419615994028,"beryllium-based alloys (Be-Pb, Be-Al, Be-In, Be-Nb, Tl-Pb, ternary Be-",Be43Bi20Pb37 (ternary),1.015,,671,,0.115,DFPT-direct,1e3-1e4
lam204,867761419615994028,"beryllium-based alloys (Be-Pb, Be-Al, Be-In, Be-Nb, Tl-Pb, ternary Be-",Be43Pb57,0.988,,662,,0.116,DFPT-direct,1e3-1e4
lam205,867762315619991562,K2Mo3As3,"K2Mo3As3, mu*=0.12",1.92,123,,,0.12,DFPT-direct,1e3-1e4
lam206,867766648835146368,"NbN polytypes (delta, epsilon, WC, delta-prime)",delta-NbN (sigma=0.18 Ry),0.98,269,,,0.1,DFPT-direct,1e3-1e4
lam207,867767689039315155,"NaCl-type FCC transition-metal nitrides/pnictides (CuN, CdN, CdP, CdAs",FCC CdAs,1.426,94.9,,,0.1,DFPT-direct,1e3-1e4
lam208,867767689039315155,"NaCl-type FCC transition-metal nitrides/pnictides (CuN, CdN, CdP, CdAs",FCC CdN,1.314,199.5,,,0.1,DFPT-direct,1e3-1e4
lam209,867767689039315155,"NaCl-type FCC transition-metal nitrides/pnictides (CuN, CdN, CdP, CdAs",FCC CdP,1.266,122,,,0.1,DFPT-direct,1e3-1e4
lam210,867767689039315155,"NaCl-type FCC transition-metal nitrides/pnictides (CuN, CdN, CdP, CdAs",FCC CuSb,1.016,84.5,,,0.1,DFPT-direct,1e3-1e4
lam211,867767689039315155,"NaCl-type FCC transition-metal nitrides/pnictides (CuN, CdN, CdP, CdAs",FCC HfP,0.67,151.8,,,0.1,DFPT-direct,1e3-1e4
lam212,867767689039315155,"NaCl-type FCC transition-metal nitrides/pnictides (CuN, CdN, CdP, CdAs",FCC HgSb,0.956,85.9,,,0.1,DFPT-direct,1e3-1e4
lam213,867767689039315155,"NaCl-type FCC transition-metal nitrides/pnictides (CuN, CdN, CdP, CdAs",FCC ZnSb,1.387,93,,,0.1,DFPT-direct,1e3-1e4
lam214,867768886924149296,"H3S and H3P, Im-3m bcc, a=3.0 A (~220 GPa)","Im-3m H3P, a=3.0 A (~220 GPa), mu*=0 (H-point unstable modes omitted)",1.66,610,,,0,DFPT-direct,1e3-1e4
lam215,867768886924149296,"H3S and H3P, Im-3m bcc, a=3.0 A (~220 GPa)","Im-3m H3S, a=3.0 A (~220 GPa), mu*=0",1.38,1580,,,0,DFPT-direct,1e3-1e4
lam216,867768967756775707,"Ca-VI (orthorhombic Pnma, high pressure)",monolayer AlB2 (single Al on honeycomb B),1.01,206.8,,,0.23,DFPT-direct,1e3-1e4
lam217,867769693774021285,Field-effect hole-doped hydrogenated diamond (111) surface (FET geomet,"H-diamond(111) FET n=6e14 cm-2, full-BZ Wannier",0.81,964.2,,,0.13,DFPT-direct,1e3-1e4
lam218,867769693774021285,Field-effect hole-doped hydrogenated diamond (111) surface (FET geomet,"H-diamond(111) FET n=6e14 cm-2, q=Gamma approx",1.09,906.3,,,0.13,DFPT-direct,1e3-1e4
lam219,867770734955462927,high-pressure tin-sulfide compounds: gamma-SnS (Pm-3m) and Sn3S4 (I-43,Sn3S4 I-43d 30 GPa,1.2,244,,,0.1,DFPT-direct,1e3-1e4
lam220,867770734955462927,high-pressure tin-sulfide compounds: gamma-SnS (Pm-3m) and Sn3S4 (I-43,gamma-SnS Pm-3m 40 GPa,0.77,225,,,0.1,DFPT-direct,1e3-1e4
lam221,867771259889386077,"Alkaline-earth graphite intercalation compounds AC6 (A=Ba,Sr,Ca,Mg), s",BaC6 0 GPa,0.38,260.4,,,0.14,DFPT-direct,1e3-1e4
lam222,867771259889386077,"Alkaline-earth graphite intercalation compounds AC6 (A=Ba,Sr,Ca,Mg), s",BaC6 8 GPa,0.45,239.4,,,0.14,DFPT-direct,1e3-1e4
lam223,867771259889386077,"Alkaline-earth graphite intercalation compounds AC6 (A=Ba,Sr,Ca,Mg), s",CaC6 0 GPa,0.83,286.6,,,0.14,DFPT-direct,1e3-1e4
lam224,867771259889386077,"Alkaline-earth graphite intercalation compounds AC6 (A=Ba,Sr,Ca,Mg), s",CaC6 5 GPa,0.845,285.5,,,0.14,DFPT-direct,1e3-1e4
lam225,867771259889386077,"Alkaline-earth graphite intercalation compounds AC6 (A=Ba,Sr,Ca,Mg), s",SrC6 0 GPa,0.54,329.3,,,0.14,DFPT-direct,1e3-1e4
lam226,867771259889386077,"Alkaline-earth graphite intercalation compounds AC6 (A=Ba,Sr,Ca,Mg), s",SrC6 8 GPa,0.65,271.5,,,0.14,DFPT-direct,1e3-1e4
lam227,867772751660712031,Mo3Sb7,"Mo3Sb7, mu*=0.10",0.54,143,,,0.1,DFPT-direct,1e3-1e4
lam228,867774094156759483,"boronitride superconductors LaMBN (M=Ni, Pt)",LaNiBN,0.52,376,,,0.12,DFPT-direct,1e3-1e4
lam229,867774094156759483,"boronitride superconductors LaMBN (M=Ni, Pt)",LaPtBN,0.56,294,,,0.1,DFPT-direct,1e3-1e4
lam230,867774180848828479,Non-centrosymmetric LaNiC2,(single),0.52,297.8,,,0.12,DFPT-direct,1e3-1e4
lam231,870263214510702950,"Niobium nitrides Nb2N (4 polymorphs), Nb4N3, Nb4N5",beta'-Nb4N5 (tetragonal I4/m),0.92,249,,,0.1,DFPT-direct,1e3-1e4
lam232,870263214510702950,"Niobium nitrides Nb2N (4 polymorphs), Nb4N3, Nb4N5",beta1-Nb2N (trigonal P-31m),0.36,285,,,0.1,DFPT-direct,1e3-1e4
lam233,870263214510702950,"Niobium nitrides Nb2N (4 polymorphs), Nb4N3, Nb4N5",beta2-Nb2N (trigonal P-3m1),0.57,306,,,0.1,DFPT-direct,1e3-1e4
lam234,870263214510702950,"Niobium nitrides Nb2N (4 polymorphs), Nb4N3, Nb4N5",beta3-Nb2N (hexagonal P63/mmc),0.47,398,,,0.1,DFPT-direct,1e3-1e4
lam235,870263214510702950,"Niobium nitrides Nb2N (4 polymorphs), Nb4N3, Nb4N5",beta4-Nb2N (orthorhombic Pnnm),0.46,289,,,0.1,DFPT-direct,1e3-1e4
lam236,870263214510702950,"Niobium nitrides Nb2N (4 polymorphs), Nb4N3, Nb4N5",gamma-Nb4N3 (tetragonal I4/mmm),0.68,262,,,0.1,DFPT-direct,1e3-1e4
