group,material,lambda_computed,calc_method,lambda_experimental,exp_method,agreement,notes,lkm_paper_ids
near-magnetic,FeSe,0.17,linear-response GGA,0.75,gamma_exp/gamma_band - 1,NO,DFPT Tc<<1K vs 8K; pump-probe 0.16 (e-ph only),811897617536516096;814585753471287297
near-magnetic,BaFe2As2-family,0.18-0.37,DFPT/Wannier,>=0.5,ARPES + gamma,NO,Hund-correlated multiband,811856026788691969;814606374376833025;319408463098675200
near-magnetic,LaFeAsO,0.20-0.21,DFPT,n/a,Tc=26K anchor,NO,phonon-only Tc<1K,811895644275867649;867763243479728744
near-magnetic,Cr-AFM,0.12,DFPT GGA (AFM state),0.13+-0.02,optical pump-probe,good,PM-state DFPT 0.35 - magnetic state changes lambda 3x,817404043482628098;867763996965471072
anomalous,cuprates-LSCO-YBCO,0.5-2.5 band,LDA,<=0.13,specific-heat,NO-reverse,correlations SUPPRESS lambda; band theory overestimates,812446852250075137;812683268246732801;812465072696721412
anomalous,Ba1-xKxBiO3,0.47,DFT-GGA,1.0-1.2,tunneling + specific-heat,NO,LDA underestimates EP matrix elements (GW needed); non-magnetic failure,813170535063093254;812446333343367169;812414324080377856
anomalous,K3C60-Rb3C60,0.58-0.69,FP-LMTO,~0.24,NMR pressure analysis,unclear,N(0) disagreement dominates,813295757061783554;812401492051886081
f-control,La-fcc,1.3,Gaspari-Gyorffy N<I2>,1.1,gamma-route,good,itinerant f-band metal,812751867321778178
f-control,Th-fcc,0.5,Gaspari-Gyorffy N<I2>,0.3,gamma-route,boundary,McMillan 0.53 elsewhere,812751867321778178;813343671989567489
f-control,alpha-U,0.52,DFT Eliashberg,0.9+-0.2,gamma0/gamma_b - 1,boundary,band metal m*/m=1.55,964771472625106961;814669295542861825
f-control,alpha-Ce,0.3,Gaspari-Gyorffy,0.65,gamma-route,NO,Stoner x2.8 contaminates gamma route,812751867321778178
f-control,UIr3,n/a,LDA N(EF),ratio 1.5,gamma_exp/N_LDA,sane,conventional member of UX3 series,812447059696156673
f-control,UPt3,n/a,band gamma0=19.8,lambda=22.8,gamma_exp=452 mJ/K2mol,ABSURD,e-ph attribution called implausible,812444998485147648;814635991309484033
f-control,UBe13,n/a,gamma_band 13,ratio 31-85,gamma_exp=1100 mJ/K2mol,ABSURD,Kondo lattice,812448466063065091;812447095200940032
f-control,CeCu2Si2,n/a,gamma_LDA 10.3,ratio ~100,gamma_exp~1000 mJ/K2mol,ABSURD,,812270104434704387
f-control,YbRh2Si2,n/a,gamma_LDA 7.25,ratio ~235,gamma_exp=1700 mJ/K2mol,ABSURD,paper metadata partly corrupted in LKM - reverify before formal use,867767749168857582
f-control,MBe13-series,n/a,band gamma per member,La/Th ratio~1; Ce/U 7-31x,specific-heat,internal-control,same structure same phonons - only f-count varies,812728024746164224
