case_id,paper_id,material,condition,material_type,lambda_ref,omega_log_K,theta_D_K,mu_star,expected_method,cost_tier_coreh
lam014,1068413857002684417,"X2MH6 hydrides (X=Mg/Ca/Sr/Ba, M=Co/Rh/Ir) at 20 GPa; notably Mg2IrH6",Sr2IrH6 at 20 GPa,高压氢化物,0.43,927.52,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam015,1096665832190115840,"LaPtH6 (ternary hydride, R-3m, triatomic H3 units) [duplicate paper_id","La2Pt2H13, 20 GPa",高压氢化物,0.615,511.7,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam016,1096665832190115840,"LaPtH6 (ternary hydride, R-3m, triatomic H3 units) [duplicate paper_id","LaPt2H7, 20 GPa",高压氢化物,0.7879,511.7,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam017,1096665832190115840,"LaPtH6 (ternary hydride, R-3m, triatomic H3 units) [duplicate paper_id","LaPt3H9, 20 GPa",高压氢化物,0.8158,511.7,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam018,1096665832190115840,"LaPtH6 (ternary hydride, R-3m, triatomic H3 units) [duplicate paper_id","LaPtH5, 20 GPa",高压氢化物,0.4942,511.7,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam019,1096665832190115840,"LaPtH6 (ternary hydride, R-3m, triatomic H3 units) [duplicate paper_id","LaPtH6, 0 GPa",高压氢化物,0.7893,511.7,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam020,1096665832190115840,"LaPtH6 (ternary hydride, R-3m, triatomic H3 units) [duplicate paper_id","LaPtH6, 20 GPa",高压氢化物,0.7014,511.7,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam021,1215273021510516746,"Grokene (doped 4x4 graphene superlattice, alkali interstitial 6.25 at.","Grokene (K-doped graphene 4x4), Allen-Dynes mean-field",2D/层状,3.8,1650,,,DFPT+Wannier/EPW,1e3-1e4
lam022,811048440174739456,bcc tantalum (Ta),(single),简单/元素金属,0.877,150.8,,,DFPT-direct,1e2-1e3
lam023,811115060788199424,"Nb1-bSnb (A15 Nb3Sn, off-stoichiometric)","A15 Nb1-bSnb, Sn=0.1875 (one antisite, 16-atom)",金属间化合物,0.92,203.5,,,DFPT-direct,1e3-1e4
lam024,811115060788199424,"Nb1-bSnb (A15 Nb3Sn, off-stoichiometric)","A15 Nb1-bSnb, Sn=0.21875 (one antisite, 32-atom)",金属间化合物,1.22,203.5,,,DFPT-direct,1e3-1e4
lam025,811115060788199424,"Nb1-bSnb (A15 Nb3Sn, off-stoichiometric)","A15 Nb3Sn, Sn=0.25 (stoichiometric)",金属间化合物,1.85,203.5,,,DFPT-direct,1e3-1e4
lam026,811126087244316673,La3Ni2B2N3 (quaternary boronitride),(single),金属间化合物,0.73,301.23,,,DFPT-direct,1e3-1e4
lam027,811176152671453187,Blue-phosphorus bilayer with Li/Na/Mg intercalation (X0.2P0.8),Li0.2P0.8 (A-X-B intercalated blue-P bilayer),2D/层状,1.2,221.3,,,DFPT+Wannier/EPW,1e3-1e4
lam028,811176152671453187,Blue-phosphorus bilayer with Li/Na/Mg intercalation (X0.2P0.8),Mg0.2P0.8 (A-X-B intercalated blue-P bilayer),2D/层状,0.8,221.3,,,DFPT+Wannier/EPW,1e3-1e4
lam029,811176152671453187,Blue-phosphorus bilayer with Li/Na/Mg intercalation (X0.2P0.8),Na0.2P0.8 (A-X-B intercalated blue-P bilayer),2D/层状,1.1,221.3,,,DFPT+Wannier/EPW,1e3-1e4
lam030,811679993317818370,"Ca-VI (Pnma calcium, high pressure 158-180 GPa)","Pnma Ca-VI, 172 GPa, mu*=0.10",简单/元素金属,0.934,396,,,DFPT-direct,1e2-1e3
lam031,811680235903778817,A15 V3Si,(single),金属间化合物,1.28,215.9,,,DFPT-direct,1e3-1e4
lam032,811682811466481665,"Monatomic metallic hydrogen, I4_1/amd (Cs-IV phase) under high pressur","I4_1/amd H, 480 GPa, mu*=0.10",高压氢化物,2.17,1870.04,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam033,811682811466481665,"Monatomic metallic hydrogen, I4_1/amd (Cs-IV phase) under high pressur","I4_1/amd H, 539 GPa, mu*=0.10",高压氢化物,2.01,1870.04,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam034,811682811466481665,"Monatomic metallic hydrogen, I4_1/amd (Cs-IV phase) under high pressur","I4_1/amd H, 608 GPa, mu*=0.10",高压氢化物,1.89,1870.04,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam035,811682811466481665,"Monatomic metallic hydrogen, I4_1/amd (Cs-IV phase) under high pressur","I4_1/amd H, 802 GPa, mu*=0.10",高压氢化物,1.68,1870.04,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam036,811685820145598464,Monolayer Pb on Si(111) (striped incommensurate SIC-Pb),(single),2D/层状,0.72,56.86,,,DFPT+Wannier/EPW,1e3-1e4
lam037,811709692383330305,fcc lithium under high pressure,"fcc Li, 14 GPa",简单/元素金属,0.49,288,,,DFPT-direct,1e2-1e3
lam038,811709692383330305,fcc lithium under high pressure,"fcc Li, 20 GPa",简单/元素金属,0.66,288,,,DFPT-direct,1e2-1e3
lam039,811709692383330305,fcc lithium under high pressure,"fcc Li, 30 GPa",简单/元素金属,0.83,288,,,DFPT-direct,1e2-1e3
lam040,811709692383330305,fcc lithium under high pressure,"fcc Li, 36 GPa",简单/元素金属,1.1,288,,,DFPT-direct,1e2-1e3
lam041,811709692383330305,fcc lithium under high pressure,"fcc Li, 8 GPa",简单/元素金属,0.39,288,,,DFPT-direct,1e2-1e3
lam042,811736896852983809,MgB2 (hexagonal),MgB2,金属间化合物,0.75,,1050,,DFPT-direct,1e3-1e4
lam043,811791191132602369,"BaSi2 (trigonal P-3m1, ambient pressure)",(single),金属间化合物,0.33,240,,,DFPT-direct,1e3-1e4
lam044,811795868670754816,elemental lanthanum (fcc and dhcp phases),dhcp La,简单/元素金属,0.97,85,,,DFPT-direct,1e2-1e3
lam045,811795868670754816,elemental lanthanum (fcc and dhcp phases),fcc La,简单/元素金属,1.06,85,,,DFPT-direct,1e2-1e3
lam046,811893892143120386,"CdCNi3 (cubic antiperovskite, Pm-3m)","CdCNi3, mu*=0.12",金属间化合物,0.8,89.41,,,DFPT-direct,1e3-1e4
lam047,811903513046024196,"Hole-doped NaBC (NaB1.1C0.9), MgB2-like borocarbide",(single),金属间化合物,0.73,903,,,DFPT-direct,1e3-1e4
lam048,811906093474119682,LaNiPO (layered Ni oxypnictide),(single),金属间化合物,0.58,162.7,,,DFPT-direct,1e3-1e4
lam049,811968721915478016,rock-salt YS (yttrium sulfide),"YS rock-salt, mu*=0.10",金属间化合物,0.52,169,,,DFPT-direct,1e3-1e4
lam050,811998282417963010,Layered LiB (MS1 structure),"MS1-LiB (stoichiometric), mu*=0.10",金属间化合物,0.62,626.6,,,DFPT-direct,1e3-1e4
lam051,812031038111875072,Nb3Sn (cubic A15),A15 Nb3Sn (mu*=0.10),金属间化合物,1.51,,,,DFPT-direct,1e3-1e4
lam052,812042380692684801,"halogen(F)-doped carbon clathrate FC34 (fluorine in C28 cage, fcc)",FC34 (fluorine in C28 cage),高压氢化物,0.85,1472,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam053,812119359072763904,MgB2 under biaxial strain / hydrostatic pressure,MgB2 unstrained (bulk reference),金属间化合物,0.94,,,,DFPT-direct,1e3-1e4
lam054,812123095799169025,"FCC Li, FCC iodine, BCC tellurium under pressure","BCC tellurium, V/V0=0.90 (~54 GPa)",金属间化合物,0.698,,,,DFPT-direct,1e3-1e4
lam055,812123095799169025,"FCC Li, FCC iodine, BCC tellurium under pressure","BCC tellurium, V/V0=0.95 (~46 GPa)",金属间化合物,0.822,,,,DFPT-direct,1e3-1e4
lam056,812123095799169025,"FCC Li, FCC iodine, BCC tellurium under pressure","BCC tellurium, V/V0=1.0 (~38 GPa)",金属间化合物,0.979,,,,DFPT-direct,1e3-1e4
lam057,812123095799169025,"FCC Li, FCC iodine, BCC tellurium under pressure","FCC iodine, 103 GPa",金属间化合物,0.375,,,,DFPT-direct,1e3-1e4
lam058,812123095799169025,"FCC Li, FCC iodine, BCC tellurium under pressure","FCC iodine, 64 GPa",金属间化合物,0.546,,,,DFPT-direct,1e3-1e4
lam059,812123095799169025,"FCC Li, FCC iodine, BCC tellurium under pressure","FCC iodine, 81 GPa",金属间化合物,0.43,,,,DFPT-direct,1e3-1e4
lam060,812125933258407937,bulk C6Ca (CaC6 graphite intercalation compound),(single),金属间化合物,0.83,286.6,,,DFPT-direct,1e3-1e4
lam061,812141571729260545,"Early transition-metal carbides/nitrides (TiC,ZrC,HfC,TiN,ZrN,HfN,NbC,",HfN (B1),金属间化合物,0.67,,,,DFPT-direct,1e3-1e4
lam062,812141571729260545,"Early transition-metal carbides/nitrides (TiC,ZrC,HfC,TiN,ZrN,HfN,NbC,",NbC (B1),金属间化合物,0.87,,,,DFPT-direct,1e3-1e4
lam063,812141571729260545,"Early transition-metal carbides/nitrides (TiC,ZrC,HfC,TiN,ZrN,HfN,NbC,",TaC (B1),金属间化合物,0.78,,,,DFPT-direct,1e3-1e4
lam064,812141571729260545,"Early transition-metal carbides/nitrides (TiC,ZrC,HfC,TiN,ZrN,HfN,NbC,",TiN (B1),金属间化合物,0.59,,,,DFPT-direct,1e3-1e4
lam065,812141571729260545,"Early transition-metal carbides/nitrides (TiC,ZrC,HfC,TiN,ZrN,HfN,NbC,","VC (B1, stoichiometric)",金属间化合物,0.78,,,,DFPT-direct,1e3-1e4
lam066,812141571729260545,"Early transition-metal carbides/nitrides (TiC,ZrC,HfC,TiN,ZrN,HfN,NbC,",ZrN (B1),金属间化合物,0.66,,,,DFPT-direct,1e3-1e4
lam067,812322173833183232,hcp Li at 247 kbar (high pressure),(single),简单/元素金属,0.806,,265,,DFPT-direct,1e2-1e3
lam068,812325968965271553,2H-NbS2 (layered transition-metal dichalcogenide),(single),2D/层状,0.554,131.4,,,DFPT+Wannier/EPW,1e3-1e4
lam069,812383700997111808,non-magnetic hcp iron (Fe) at 100 GPa (also bcc Fe lattice dynamics),"nm-hcp Fe, 100 GPa",简单/元素金属,0.33,450,,,DFPT-direct,1e2-1e3
lam070,812446916401954817,"Amorphous superconductors (a-PbCu, a-Mo, a-Nb, etc.) - Eliashberg func",rock-salt SnAs,简单/元素金属,0.64,,,,DFPT-direct,1e2-1e3
lam071,812454340861100036,BEDT-TTF organic superconductors: kappa- and beta*-(BEDT-TTF)2I3,(single),金属间化合物,0.74,86.3,,,DFPT-direct,1e3-1e4
lam072,812473244324986880,"Monolayer Mg2B4C2 (2D MgB2-derived, layer group p-3m1)",(single),2D/层状,1.4,506,,,DFPT+Wannier/EPW,1e3-1e4
lam073,812489714396299266,"Mg2Ir3Si (Ir Kagome network, P6_3/mmc)",Mg2Ir3Si with SOC,重元素(SOC),0.93,120.15,,,DFPT+SOC,1e3-1e4
lam074,812489714396299266,"Mg2Ir3Si (Ir Kagome network, P6_3/mmc)",Mg2Ir3Si without SOC,重元素(SOC),1.05,120.15,,,DFPT+SOC,1e3-1e4
lam075,812489993686614016,"YC2 (yttrium dicarbide, CaC2-type) under compression","YC2 (CaC2-type bct), 0 GPa",金属间化合物,0.55,347.32,401.53,,DFPT-direct,1e3-1e4
lam076,812489993686614016,"YC2 (yttrium dicarbide, CaC2-type) under compression","YC2 (CaC2-type bct), 20 GPa",金属间化合物,0.45,347.32,401.53,,DFPT-direct,1e3-1e4
lam077,812507119646408706,"A-15 X3Y compounds (X=V,Cr,Mo; Y=Os,Ir,Pt) - focus Mo3Os, Mo3Pt, Mo3Ir",Mo3Os (A-15),简单/元素金属,1.51,56.17,,,DFPT-direct,1e2-1e3
lam078,812509483795218435,"ternary S-P-H alloy hydrides (S0.75P0.25H3, S0.5P0.5H3) under high pre","S0.5P0.5H3, Imma, 200 GPa",高压氢化物,0.94,291,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam079,812509483795218435,"ternary S-P-H alloy hydrides (S0.75P0.25H3, S0.5P0.5H3) under high pre","S0.75P0.25H3, Immm, 200 GPa",高压氢化物,1.31,291,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam080,812549822006427649,Lanthanum at megabar pressures (R-3m and Fmmm distorted fcc),La Fmmm distorted fcc 130 GPa,简单/元素金属,0.69,288,,,DFPT-direct,1e2-1e3
lam081,812549822006427649,Lanthanum at megabar pressures (R-3m and Fmmm distorted fcc),La R-3m slightly distorted fcc ~50 GPa,简单/元素金属,1.07,288,,,DFPT-direct,1e2-1e3
lam082,812552562543689728,"ScRuSi and ZrRhSi (orthorhombic TiNiSi-type, Pnma)",ScRuSi,重元素(SOC),0.54,213.35,,,DFPT+SOC,1e3-1e4
lam083,812552562543689728,"ScRuSi and ZrRhSi (orthorhombic TiNiSi-type, Pnma)",ZrRhSi,重元素(SOC),0.84,213.35,,,DFPT+SOC,1e3-1e4
lam084,812581407606964224,"Mg0.5Ca0.5H6 (Im-3m sodalite clathrate hexahydride, 200 GPa)",(single),高压氢化物,2.53,1400,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam085,812600623223537667,"Noncentrosymmetric superconductors LaNiSi, LaPtSi (and LaPtGe)",LaNiSi,金属间化合物,0.49,140.6,,,DFPT-direct,1e3-1e4
lam086,812600623223537667,"Noncentrosymmetric superconductors LaNiSi, LaPtSi (and LaPtGe)",LaPtSi,金属间化合物,0.59,140.6,,,DFPT-direct,1e3-1e4
lam087,812601801109929984,"Filled skutterudites MPt4Ge12 (M = Ba, Sr, Th)",BaPt4Ge12 with SOI,重元素(SOC),0.74,119.45,,,DFPT+SOC,1e3-1e4
lam088,812601801109929984,"Filled skutterudites MPt4Ge12 (M = Ba, Sr, Th)",SrPt4Ge12 with SOI,重元素(SOC),0.79,119.45,,,DFPT+SOC,1e3-1e4
lam089,812601801109929984,"Filled skutterudites MPt4Ge12 (M = Ba, Sr, Th)",ThPt4Ge12 with SOI,重元素(SOC),0.69,119.45,,,DFPT+SOC,1e3-1e4
lam090,812654281252405248,"doped C60 fullerides A3C60 (alkali-doped), plus hole-doped case","A3C60, a=14.1 Angstrom",简单/元素金属,0.49,1251.7,,,DFPT-direct,1e2-1e3
lam091,812654281252405248,"doped C60 fullerides A3C60 (alkali-doped), plus hole-doped case","A3C60, a=14.4 Angstrom",简单/元素金属,0.77,1251.7,,,DFPT-direct,1e2-1e3
lam092,812654281252405248,"doped C60 fullerides A3C60 (alkali-doped), plus hole-doped case","A3C60, a=14.6 Angstrom",简单/元素金属,0.83,1251.7,,,DFPT-direct,1e2-1e3
lam093,812654281252405248,"doped C60 fullerides A3C60 (alkali-doped), plus hole-doped case","A3C60, two-hole doped hu band, a=14.1 Angstrom",简单/元素金属,0.85,1251.7,,,DFPT-direct,1e2-1e3
lam094,812688058997538816,Monolayer 1T-TiS2 (electron-doped / strained / chemically intercalated,CaTiS2 (Ca-deposited monolayer),2D/层状,1.78,72.6,,,DFPT+Wannier/EPW,1e3-1e4
lam095,812737475888807939,"Silicon high-pressure metallic phases (simple-hexagonal sh, beta-Sn)",Si simple-hexagonal (sh) 12.7 GPa,简单/元素金属,0.4,,623,,DFPT-direct,1e2-1e3
lam096,812774568677605378,YIn3 (cubic AuCu3-type) under positive pressure,"YIn3, 1.04 GPa",金属间化合物,0.36,111.4,,,DFPT-direct,1e3-1e4
lam097,812774568677605378,YIn3 (cubic AuCu3-type) under positive pressure,"YIn3, 2.1 GPa",金属间化合物,0.32,111.4,,,DFPT-direct,1e3-1e4
lam098,812774568677605378,YIn3 (cubic AuCu3-type) under positive pressure,"YIn3, ambient pressure",金属间化合物,0.38,111.4,,,DFPT-direct,1e3-1e4
lam099,812798558582341635,"filled skutterudites YRu4P12, YOs4P12, LaOs4P12, LaOs4As12",LaOs4As12,重元素(SOC),0.59,216.97,,,DFPT+SOC,1e3-1e4
lam100,812798558582341635,"filled skutterudites YRu4P12, YOs4P12, LaOs4P12, LaOs4As12",LaOs4P12,重元素(SOC),0.49,216.97,,,DFPT+SOC,1e3-1e4
lam101,812798558582341635,"filled skutterudites YRu4P12, YOs4P12, LaOs4P12, LaOs4As12",YOs4P12,重元素(SOC),0.55,216.97,,,DFPT+SOC,1e3-1e4
lam102,812798558582341635,"filled skutterudites YRu4P12, YOs4P12, LaOs4P12, LaOs4As12",YRu4P12,重元素(SOC),0.78,216.97,,,DFPT+SOC,1e3-1e4
lam103,813009572703764480,"YSn3 (cubic AuCu3-type, Pm-3m) under negative (tensile) pressure","YSn3, 3.48 GPa negative pressure (2% lattice increment)",金属间化合物,1.55,69.5,,,DFPT-direct,1e3-1e4
lam104,813009572703764480,"YSn3 (cubic AuCu3-type, Pm-3m) under negative (tensile) pressure","YSn3, ambient pressure",金属间化合物,1.29,69.5,,,DFPT-direct,1e3-1e4
lam105,813087272097284096,FeH5 (tetragonal I4/mmm) at 130-200 GPa,"FeH5, I4/mmm, 130 GPa",高压氢化物,1.13,614,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam106,813087272097284096,FeH5 (tetragonal I4/mmm) at 130-200 GPa,"FeH5, I4/mmm, 200 GPa",高压氢化物,1.1,614,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam107,813094079012274176,"CaIr2 and CaRh2 (cubic C15 Laves phase), SOC study","CaIr2, with SOC",重元素(SOC),1.05,100.97,,,DFPT+SOC,1e3-1e4
lam108,813094079012274176,"CaIr2 and CaRh2 (cubic C15 Laves phase), SOC study","CaIr2, without SOC",重元素(SOC),1.43,100.97,,,DFPT+SOC,1e3-1e4
lam109,813094079012274176,"CaIr2 and CaRh2 (cubic C15 Laves phase), SOC study","CaRh2, with SOC",重元素(SOC),0.96,100.97,,,DFPT+SOC,1e3-1e4
lam110,813094079012274176,"CaIr2 and CaRh2 (cubic C15 Laves phase), SOC study","CaRh2, without SOC",重元素(SOC),1.17,100.97,,,DFPT+SOC,1e3-1e4
lam111,813152122194362369,"YIr2Si2 and LaIr2Si2 (high-temperature polymorphs, 122-type)",LaIr2Si2 (HTP P4/nmm),重元素(SOC),0.56,145.5,,,DFPT+SOC,1e3-1e4
lam112,813152122194362369,"YIr2Si2 and LaIr2Si2 (high-temperature polymorphs, 122-type)",YIr2Si2 (HTP P4/nmm),重元素(SOC),0.61,145.5,,,DFPT+SOC,1e3-1e4
lam113,813179722505650176,"GeH3 (A15, P4_2/mmc, Cccm) at ~180 GPa","A15 GeH3, r_s=1.52 (~180 GPa)",高压氢化物,1.82,989,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam114,813179722505650176,"GeH3 (A15, P4_2/mmc, Cccm) at ~180 GPa","Cccm GeH3, r_s=1.52 (~180 GPa)",高压氢化物,1.6,989,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam115,813179722505650176,"GeH3 (A15, P4_2/mmc, Cccm) at ~180 GPa","P4_2/mmc GeH3, r_s=1.52 (~180 GPa)",高压氢化物,1.56,989,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam116,813198240718520323,AlH3 cubic Pm-3n phase (73-165 GPa),AlH3 Pm-3n 73 GPa,高压氢化物,0.591,388.8,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam117,813203421422157825,Simple cubic (sc) phosphorus under pressure,"sc P, 20 GPa (P_calc)",简单/元素金属,0.795,418,,,DFPT-direct,1e2-1e3
lam118,813203421422157825,Simple cubic (sc) phosphorus under pressure,"sc P, 70 GPa (P_calc)",简单/元素金属,0.676,418,,,DFPT-direct,1e2-1e3
lam119,813207569110663169,Cr3GaN antiperovskite under pressure (0-100 GPa),"Cr3GaN, 0 GPa, mu*=0.10",金属间化合物,0.53,306,,,DFPT-direct,1e3-1e4
lam120,813214157951205376,electron-doped single-layer (monolayer) MoS2,"electron-doped monolayer MoS2, x=0.18 electrons/f.u.",2D/层状,1.7,,,,DFPT+Wannier/EPW,1e3-1e4
lam121,813214614123708416,Hole-doped LiBC via Be substitution: LiB0.9Be0.1C,(single),金属间化合物,0.75,901,,,DFPT-direct,1e3-1e4
lam122,813217096233123840,Compressed elemental sulfur (S): beta-Po and simple-cubic phases at 16,beta-Po 160 GPa,简单/元素金属,0.76,439,,,DFPT-direct,1e2-1e3
lam123,813217096233123840,Compressed elemental sulfur (S): beta-Po and simple-cubic phases at 16,sc 280 GPa,简单/元素金属,0.53,439,,,DFPT-direct,1e2-1e3
lam124,813219863777509378,YIn3 (AuCu3 structure),(single),金属间化合物,0.42,135.9,,,DFPT-direct,1e3-1e4
lam125,813228976360128513,boronitride superconductors LaNiBN and LaPtBN,LaNiBN,重元素(SOC),0.52,376,,,DFPT+SOC,1e3-1e4
lam126,813228976360128513,boronitride superconductors LaNiBN and LaPtBN,LaPtBN,重元素(SOC),0.56,376,,,DFPT+SOC,1e3-1e4
lam127,813231154529304578,"SrPt3P (antiperovskite; series APt3P A=Sr,Ca,La)","SrPt3P, mu*=0.10",重元素(SOC),1.06,81.35,,,DFPT+SOC,1e3-1e4
lam128,813254743873814530,2D TiB4 monolayer and bilayer (nodal-line semimetal),TiB4 bilayer +11% biaxial tensile strain,2D/层状,0.65,57.61,,,DFPT+Wannier/EPW,1e3-1e4
lam129,813254743873814530,2D TiB4 monolayer and bilayer (nodal-line semimetal),TiB4 monolayer (freestanding),2D/层状,0.65,57.61,,,DFPT+Wannier/EPW,1e3-1e4
lam130,813364301560545280,"Layered binary silicides XSi2 (X=Mg,Ca,Sr,Ba,Ra), trigonal EuGe2-type",BaSi2,金属间化合物,0.77,,,,DFPT-direct,1e3-1e4
lam131,813364301560545280,"Layered binary silicides XSi2 (X=Mg,Ca,Sr,Ba,Ra), trigonal EuGe2-type","CaSi2, 0 GPa",金属间化合物,0.42,,,,DFPT-direct,1e3-1e4
lam132,813364301560545280,"Layered binary silicides XSi2 (X=Mg,Ca,Sr,Ba,Ra), trigonal EuGe2-type","CaSi2, 16 GPa",金属间化合物,1.1,,,,DFPT-direct,1e3-1e4
lam133,813364301560545280,"Layered binary silicides XSi2 (X=Mg,Ca,Sr,Ba,Ra), trigonal EuGe2-type",MgSi2 (z_tuned=0.593),金属间化合物,0.79,,,,DFPT-direct,1e3-1e4
lam134,813364301560545280,"Layered binary silicides XSi2 (X=Mg,Ca,Sr,Ba,Ra), trigonal EuGe2-type",RaSi2 (z_tuned=0.544),金属间化合物,0.93,,,,DFPT-direct,1e3-1e4
lam135,813364301560545280,"Layered binary silicides XSi2 (X=Mg,Ca,Sr,Ba,Ra), trigonal EuGe2-type",SrSi2,金属间化合物,0.5,,,,DFPT-direct,1e3-1e4
lam136,814537145015336960,SrAuSi3 (I4mm) and SrAu2Si2 (I4/mmm),(single),重元素(SOC),0.47,235.81,,,DFPT+SOC,1e3-1e4
lam137,814544077151272962,"H5S2 (sulfur hydride, P1 phase) under high pressure",SrAu2Si2 (I4/mmm),高压氢化物,0.42,898,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam138,814544077151272962,"H5S2 (sulfur hydride, P1 phase) under high pressure",SrAuSi3 (I4mm),高压氢化物,0.47,898,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam139,814547623011680264,NaAlSi (anti-PbFCl-type ternary silicide),"NaAlSi, mu*=0.10",金属间化合物,0.68,216.27,,,DFPT-direct,1e3-1e4
lam140,814559975392149507,"Tellurium hydrides (H4Te, H5Te2, HTe) at high pressure","H4Te, 200 GPa",高压氢化物,1.46,929.1,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam141,814565865667166209,"SnH4, C2/m phase (high pressure hydride)","SnH4 C2/m, 500 GPa",高压氢化物,1.02,1027,,,DFPT+anharmonic/SSCHA,1e4-1e5
lam142,814582504823455745,K2Cr3As3 (noncentrosymmetric quasi-1D),(single),金属间化合物,3,102.2,,,DFPT-direct,1e3-1e4
lam143,814601823489884160,SnAs (rock-salt / NaCl structure),"P1 H5S2, 112 GPa",金属间化合物,1.1856,155,199,,DFPT-direct,1e3-1e4
lam144,814601823489884160,SnAs (rock-salt / NaCl structure),"P1 H5S2, 120 GPa",金属间化合物,1.239,155,199,,DFPT-direct,1e3-1e4
lam145,814601823489884160,SnAs (rock-salt / NaCl structure),"P1 H5S2, 130 GPa",金属间化合物,1.2417,155,199,,DFPT-direct,1e3-1e4
